<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 26806</b> résultats <font class="Normal">sur un total de <b>26806</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
tous	tout	916.55	2948.75	tous	
même	même	705.81	402.93	mê-me	
autre	autre	700.68	786.09	au-tre	
tout	tout	680.47	2948.75	tout	
petit	petit	653.78	1106.80	pe-tit	
toute	tout	602.84	2948.75	tou-te	
grand	grand	537.97	638.72	grand	
toutes	tout	535.34	2948.75	tou-tes	
petite	petit	491.82	1106.80	pe-ti-te	
seul	seul	478.58	891.45	seul	
jeune	jeune	432.64	297.01	jeu-ne	
grande	grand	378.65	638.72	gran-de	
bon	bon	376.28	1554.44	bon	
sûr	sûr	343.51	943.56	sûr	
seule	seul	318.85	891.45	seu-le	
vrai	vrai	311.89	807.03	vrai	
première	premier	296.76	376.98	pre-miè-re	
bonne	bon	294.53	1554.44	bon-ne	
vieux	vieux	273.31	282.20	vieux	
beau	beau	270.07	671.86	beau	
petits	petit	244.19	1106.80	pe-tits	
premier	premier	237.91	376.98	pre-mier	
belle	beau	223.65	671.86	bel-le	
gros	gros	216.01	266.95	gros	
quoi	quoi	210.88	1558.22	quoi	
grands	grand	201.55	638.72	grand-s	
possible	possible	197.16	201.41	pos-si-ble	
rouge	rouge	195.27	102.93	rou-ge	
noir	noir	184.86	144.81	noir	
vieille	vieux	184.12	282.20	vieil-le	
autres	autre	169.46	786.09	au-tres	
plein	plein	157.84	208.75	plein	
long	long	153.51	164.02	long	
petites	petit	152.16	1106.80	pe-ti-tes	
blanc	blanc	152.03	118.74	blanc	
propre	propre	149.80	163.24	pro-pre	
pauvre	pauvre	148.78	178.03	pau-vre	
français	français	148.72	43.06	fran-çais	
juste	juste	147.77	656.86	jus-te	
dernier	dernier	146.42	431.08	der-nier	
dernière	dernier	145.27	431.08	der-niè-re	
blanche	blanc	145.07	118.74	blan-che	
noire	noir	140.88	144.81	noi-re	
pleine	plein	139.19	208.75	plei-ne	
longue	long	138.31	164.02	lon-gue	
nouveau	nouveau	138.31	209.45	nou-veau	
jeunes	jeune	136.55	297.01	jeu-nes	
nouvelle	nouvelle	130.81	191.15	nou-vel-le	
libre	libre	130.14	134.42	li-bre	
grandes	grand	126.49	638.72	gran-des	
heureux	heureux	125.41	248.45	heu-reux	
simple	simple	124.26	137.69	sim-ple	
moindre	moindre	116.96	50.12	moin-dre	
mauvais	mauvais	108.65	252.69	mau-vais	
française	français	105.07	43.06	fran-çai-se	
vide	vide	102.84	60.33	vi-de	
certain	certain	102.16	103.57	cer-tain	
difficile	difficile	100.74	150.58	dif-fi-ci-le	
bleu	bleu	100.41	70.61	bleu	
bas	bas	99.80	85.56	bas	
mêmes	même	98.99	402.93	mê-mes	
froid	froid	94.86	127.22	froid	
noirs	noir	93.85	144.81	noirs	
sombre	sombre	93.72	31.86	som-bre	
clair	clair	91.01	122.69	clair	
cher	cher	90.47	205.75	cher	
impossible	impossible	90.07	124.54	im-pos-si-ble	
facile	facile	88.65	159.35	fa-ci-le	
gris	gris	88.31	19.64	gris	
haute	haut	88.11	68.05	hau-te	
gauche	gauche	88.04	45.88	gau-che	
longues	long	87.57	164.02	lon-gues	
seuls	seul	87.57	891.45	seuls	
immobile	immobile	87.50	8.03	im-mo-bi-le	
triste	triste	86.89	103.44	tris-te	
grosse	gros	85.81	266.95	gros-se	
drôle	drôle	85.47	144.48	drô-le	
immense	immense	83.99	21.56	im-men-se	
étrange	étrange	83.65	85.61	é-tran-ge	
fou	fou	82.03	321.31	fou	
énorme	énorme	81.22	49.27	é-nor-me	
dur	dur	80.68	187.84	dur	
droite	droit	79.26	77.74	droi-te	
rouges	rouge	77.97	102.93	rou-ges	
premiers	premier	77.70	376.98	pre-miers	
vraie	vrai	77.57	807.03	vraie	
tranquille	tranquille	77.50	119.69	tran-quil-le	
jaune	jaune	75.81	21.09	jau-ne	
léger	léger	74.93	37.77	lé-ger	
grave	grave	74.86	142.48	gra-ve	
sale	sale	74.86	146.86	sa-le	
droit	droit	74.26	77.74	droit	
douce	doux	73.58	89.14	dou-ce	
terrible	terrible	73.24	87.66	ter-ri-ble	
blancs	blanc	72.77	118.74	blancs	
sec	sec	72.30	43.02	sec	
basse	bas	71.28	85.56	bas-se	
mauvaise	mauvais	70.88	252.69	mau-vai-se	
large	large	70.54	18.66	lar-ge	
pareil	pareil	70.47	133.45	pa-reil	
certaine	certain	69.80	103.57	cer-tai-ne	
capable	capable	69.73	76.85	ca-pa-ble	
militaire	militaire	69.19	43.73	mi-li-tai-re	
pâle	pâle	67.23	16.50	pâ-le	
unique	unique	66.76	45.43	u-ni-que	
rose	rose	66.62	23.72	ro-se	
faux	faux	66.55	122.23	faux	
malade	malade	66.22	158.27	ma-la-de	
calme	calme	65.81	66.57	cal-me	
longs	long	65.47	164.02	long-s	
beaux	beau	63.78	671.86	beaux	
derniers	dernier	63.38	431.08	der-niers	
proche	proche	63.04	55.34	pro-che	
entière	entier	62.97	76.01	en-tiè-re	
ouverte	ouvert	62.84	39.97	ou-ver-te	
forte	fort	62.64	95.28	for-te	
noires	noir	62.64	144.81	noi-res	
belles	beau	62.57	671.86	bel-les	
bonnes	bon	61.76	1554.44	bon-nes	
blanches	blanc	60.68	118.74	blan-ches	
prêt	prêt	60.41	314.64	prêt	
mince	mince	60.34	16.27	min-ce	
premières	premier	60.20	376.98	pre-miè-res	
ancien	ancien	59.26	73.16	an-cien	
vert	vert	59.12	52.59	vert	
doux	doux	58.72	89.14	doux	
deuxième	deuxième	58.58	43.97	deuxiè-me	
heureuse	heureux	58.11	248.45	heu-reu-se	
propres	propre	57.70	163.24	pro-pres	
troisième	troisième	57.23	30.50	troi-siè-me	
bons	bon	57.09	1554.44	bons	
entier	entier	56.69	76.01	en-tier	
lourde	lourd	56.62	29.45	lour-de	
entendu	entendu	56.55	51.52	en-ten-du	
sûre	sûr	56.55	943.56	sû-re	
frais	frais	56.22	46.43	frais	
vaste	vaste	55.61	10.32	vas-te	
vieilles	vieux	55.47	282.20	vieil-les	
rapide	rapide	53.99	48.73	ra-pi-de	
nu	nu	53.85	49.87	nu	
seconde	second	53.51	52.50	se-con-de	
présent	présent	53.24	53.70	pré-sent	
bleue	bleu	53.11	70.61	bleue	
inutile	inutile	53.04	72.71	i-n-uti-le	
double	double	52.84	30.46	dou-ble	
jolie	joli	51.76	226.45	jo-lie	
grosses	gros	51.62	266.95	gros-ses	
content	content	51.22	178.94	con-tent	
vieil	vieil	51.22	34.69	vieil	
rares	rare	50.00	33.27	ra-res	
important	important	49.66	229.36	im-por-tant	
froide	froid	49.59	127.22	froi-de	
grise	gris	49.39	19.64	gri-se	
général	général	48.92	41.31	gé-né-ral	
nus	nu	48.92	49.87	nus	
véritable	véritable	48.51	29.36	vé-ri-ta-ble	
nécessaire	nécessaire	48.45	52.00	né-ces-sai-re	
nationale	national	48.18	34.61	na-tio-na-le	
dernières	dernier	48.04	431.08	der-niè-res	
britannique	britannique	47.97	8.23	bri-tan-ni-que	
légère	léger	47.84	37.77	lé-gè-re	
profond	profond	47.77	42.41	pro-fond	
humaine	humain	47.43	107.10	hu-mai-ne	
nouveaux	nouveau	47.30	209.45	nou-veaux	
chaud	chaud	46.42	84.16	chaud	
folle	fou	46.01	321.31	fol-le	
tendre	tendre	45.54	21.66	ten-dre	
chaude	chaud	45.47	84.16	chau-de	
françaises	français	45.07	43.06	fran-çai-ses	
soudain	soudain	44.80	13.62	sou-dain	
vides	vide	44.66	60.33	vi-des	
pur	pur	44.59	58.46	pur	
joli	joli	44.53	226.45	jo-li	
politique	politique	44.39	38.09	po-li-ti-que	
curieux	curieux	44.26	34.36	cu-rieux	
fort	fort	43.85	95.28	fort	
nue	nu	43.85	49.87	nue	
normal	normal	42.97	127.15	nor-mal	
fraîche	frais	42.91	46.43	fraî-che	
sérieux	sérieux	42.84	110.48	sé-rieux	
national	national	42.70	34.61	na-tio-nal	
silencieux	silencieux	42.64	12.01	si-len-cieux	
riche	riche	42.57	73.85	ri-che	
lourd	lourd	42.50	29.45	lourd	
haut	haut	41.96	68.05	haut	
maigre	maigre	41.82	12.73	mai-gre	
bizarre	bizarre	41.76	131.41	bi-zar-re	
nouvelles	nouvelle	41.69	191.15	nou-vel-les	
extrême	extrême	41.62	12.08	ex-trê-me	
vif	vif	41.62	22.95	vif	
mort	mort	41.28	89.29	mort	
pareille	pareil	41.22	133.45	pa-reil-le	
vivant	vivant	41.15	124.97	vi-vant	
