<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
temps	temps	1289.39	1031.05	temps	
fois	fois	1140.00	899.25	fois	
peu	peu	1023.38	894.78	peu	
yeux	oeil	955.68	413.04	yeux	
tête	tête	861.49	475.87	tê-te	
homme	homme	852.23	1123.55	hom-me	
vie	vie	835.47	1021.22	vie	
jour	jour	826.35	1061.92	jour	
main	main	788.72	499.60	main	
mère	mère	737.09	686.79	mè-re	
monde	monde	732.43	830.72	mon-de	
père	père	708.11	895.55	pè-re	
chose	chose	695.20	1773.62	cho-se	
femme	femme	680.20	1049.32	fem-me	
nuit	nuit	672.36	586.54	nuit	
air	air	661.01	485.18	air	
coup	coup	641.55	471.82	coup	
voix	voix	612.70	130.83	voix	
moment	moment	611.62	433.59	mo-ment	
ans	an	609.05	866.58	ans	
hommes	homme	546.62	1123.55	hom-mes	
porte	porte	536.96	333.85	por-te	
soir	soir	527.23	575.70	soir	
jours	jour	515.41	1061.92	jours	
côté	côté	497.43	285.99	cô-té	
visage	visage	490.54	141.23	vi-sa-ge	
bras	bras	487.97	149.26	bras	
heures	heure	484.19	709.79	heu-res	
corps	corps	480.34	250.15	corps	
maison	maison	461.55	605.75	mai-son	
rue	rue	449.53	157.81	rue	
mains	main	440.68	499.60	mains	
heure	heure	439.86	709.79	heu-re	
place	place	437.97	301.30	pla-ce	
terre	terre	420.88	294.45	ter-re	
eau	eau	417.84	305.74	eau	
fille	fille	417.03	841.56	fil-le	
gens	gens	409.39	594.29	gens	
peine	peine	388.24	199.75	pei-ne	
enfant	enfant	381.96	735.59	en-fant	
chambre	chambre	380.07	288.64	cham-bre	
coeur	coeur	380.07	239.97	coeur	
matin	matin	376.89	275.01	ma-tin	
fond	fond	376.15	110.07	fond	
bout	bout	375.68	128.33	bout	
mort	mort	373.99	460.05	mort	
amour	amour	373.58	458.27	a-mour	
dieu	dieu	368.51	903.41	dieu	
choses	chose	362.43	1773.62	cho-ses	
