<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlemlivres	freqlemfilms2	orthosyll	
chose	chose	1057.64	1773.62	cho-se	
choses	chose	1057.64	1773.62	cho-ses	
homme	homme	1398.85	1123.55	hom-me	
hommes	homme	1398.85	1123.55	hom-mes	
jour	jour	1341.76	1061.92	jour	
jours	jour	1341.76	1061.92	jours	
femme	femme	995.74	1049.32	fem-me	
femmes	femme	995.74	1049.32	fem-mes	
temps	temps	1289.39	1031.05	temps	
vie	vie	853.31	1021.22	vie	
vies	vie	853.31	1021.22	vies	
dieu	dieu	396.49	903.41	dieu	
dieux	dieu	396.49	903.41	dieux	
fois	fois	1140.00	899.25	fois	
père	père	723.51	895.55	pè-re	
pères	père	723.51	895.55	pè-res	
peu	peu	1023.38	894.78	peu	
an	an	685.81	866.58	an	
ans	an	685.81	866.58	ans	
fille	fille	592.23	841.56	fil-le	
filles	fille	592.23	841.56	fil-les	
monde	monde	741.35	830.72	mon-de	
mondes	monde	741.35	830.72	mon-des	
besoin	besoin	266.62	771.24	be-soin	
besoins	besoin	266.62	771.24	be-soins	
accord	accord	136.15	766.20	ac-cord	
accords	accord	136.15	766.20	ac-cord-s	
ami	ami	354.12	747.98	a-mi	
amie	ami	354.12	747.98	a-mie	
amies	ami	354.12	747.98	a-mies	
amis	ami	354.12	747.98	a-mis	
messieurs	monsieur	324.86	739.12	mes-sieurs	
monsieur	monsieur	324.86	739.12	mon-sieur	
enfant	enfant	725.68	735.59	en-fant	
enfants	enfant	725.68	735.59	en-fants	
heure	heure	924.05	709.79	heu-re	
heures	heure	924.05	709.79	heu-res	
mère	mère	761.28	686.79	mè-re	
mères	mère	761.28	686.79	mè-res	
maison	maison	575.34	605.75	mai-son	
maisons	maison	575.34	605.75	mai-sons	
gens	gens	409.39	594.29	gens	
nuit	nuit	738.24	586.54	nuit	
nuits	nuit	738.24	586.54	nuits	
soir	soir	562.64	575.70	soir	
soirs	soir	562.64	575.70	soirs	
nom	nom	395.00	570.67	nom	
noms	nom	395.00	570.67	nom-s	
bonjour	bonjour	51.55	570.57	bon-jour	
bonjours	bonjour	51.55	570.57	bon-jours	
peur	peur	311.69	557.21	peur	
peurs	peur	311.69	557.21	peurs	
maman	maman	144.39	540.21	ma-man	
mamans	maman	144.39	540.21	ma-mans	
