<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 50000</b> résultats <font class="Normal">sur un total de <b>64929</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
est	être	6331.76	32236.50	est	
était	être	3688.99	32236.50	é-tait	
dit	dire	2601.62	5946.15	dit	
a	avoir	1669.39	13572.40	a	
faire	faire	1555.14	8813.48	fai-re	
avait	avoir	1496.15	13572.40	a-vait	
fait	faire	1459.26	8813.48	fait	
dire	dire	827.84	5946.15	di-re	
été	être	818.99	32236.50	é-té	
voir	voir	716.55	4119.43	voir	
sont	être	713.18	32236.50	sont	
va	aller	694.59	9992.77	va	
faut	falloir	653.92	1653.76	faut	
ai	avoir	619.05	13572.40	ai	
sais	savoir	615.27	4516.71	sais	
suis	suivre	583.92	2090.54	suis	
étaient	être	534.19	32236.50	é-taient	
faisait	faire	524.73	8813.48	fai-sait	
peut	pouvoir	508.99	5524.47	peut	
être	être	505.61	32236.50	ê-tre	
dis	dire	477.36	5946.15	dis	
fit	faire	469.66	8813.48	fit	
pouvait	pouvoir	445.00	5524.47	pou-vait	
eu	avoir	436.76	13572.40	eu	
étais	être	403.11	32236.50	é-tais	
vu	voir	393.45	4119.43	vu	
veux	vouloir	377.97	5249.30	veux	
allait	aller	370.61	9992.77	al-lait	
aller	aller	368.04	9992.77	al-ler	
disait	dire	352.30	5946.15	di-sait	
avais	avoir	351.96	13572.40	a-vais	
pu	pouvoir	349.32	5524.47	pu	
prendre	prendre	344.05	1913.83	pren-dre	
parler	parler	341.82	1970.55	par-ler	
pris	prendre	333.04	1913.83	pris	
fallait	falloir	310.61	1653.76	fal-lait	
crois	croire	305.54	1711.99	crois	
devait	devoir	298.99	3232.57	de-vait	
passer	passer	288.78	1495.49	pas-ser	
serait	être	285.27	32236.50	se-rait	
fut	être	284.46	32236.50	fut	
vais	aller	280.00	9992.77	vais	
venait	venir	271.89	2763.82	ve-nait	
demanda	demander	270.74	909.77	de-man-da	
semblait	sembler	260.54	229.25	sem-blait	
aime	aimer	257.57	1655.07	ai-me	
es	être	256.62	32236.50	es	
vois	voir	253.72	4119.43	vois	
savoir	savoir	250.00	4516.71	sa-voir	
eut	avoir	247.09	13572.40	eut	
mis	mettre	245.68	1004.83	mis	
peux	pouvoir	245.41	5524.47	peux	
sait	savoir	245.00	4516.71	sait	
dû	devoir	243.65	3232.57	dû	
